WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
16,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
15,0,2,55,1,1,1,1,2,1
17,1,2,55,1,1,1,1,2,1
17,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
16,1,2,55,1,1,1,1,2,1
15,1,2,55,1,1,1,1,2,1
15,0,1,55,1,1,1,1,2,1
15,0,1,55,1,1,1,1,2,1
15,0,1,55,1,1,1,1,2,1
15,0,1,55,1,1,1,1,2,1
17,0,2,50,1,1,1,1,2,1
17,0,2,50,1,1,1,1,2,1
17,0,2,50,1,1,1,1,2,1
16,0,2,50,1,1,1,1,2,1
16,0,2,50,1,1,1,1,2,1
16,0,2,50,1,1,1,1,2,1
15,0,2,50,1,1,1,1,2,1
15,0,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
17,1,2,50,1,1,1,1,2,1
